id	harness	dom	kind	verdict	detail	pass
0	aider	models-routing	feat	annotated	模型 | models.dev 目录+~20 provider 包懒	dedup-l
1	aider	models-routing	feat	annotated	模型 | LiteLLM 100+ provider+tenacit	dedup-l
2	aider	models-routing	feat	annotated	持久化 | `~/.gemini` 会话+checkpoint；压缩	dedup-l
3	aider	models-routing	feat	annotated	模型 | LiteLLM 100+ provider+tenacit	dedup-l
4	aider	models-routing	feat	noise	gemini-2.5系列	dedup-h
5	aider	models-routing	other	noise	model-catalog: Updated model aliases: flash now points to	rule
6	aider	models-routing	feat	noise	model/provider line: Support for Responses API models like o1-pro	rule
7	aider	models-routing	feat	annotated	模型 | 多厂 lineup+TRAE Auto Model 路由+	dedup-l
8	aider	models-routing	perf	noise	model/provider line: Increased max tokens for Deepseek models to	rule
9	aider	models-routing	other	noise	model/provider line: Updated pricing for o3.	rule
10	aider	models-routing	fix	noise	model-catalog: Fixed Vertex AI model name prefixes in	rule
11	aider	models-routing	feat	annotated	中断流自动重试 | 变体（provider 韧性族，已记） |	dedup-l
12	aider	models-routing	feat	annotated	**Claude Code 2.1.252→2.1.278**（~27	dedup-l
13	aider	models-routing	other	noise	model/provider line: claude-opus-4-20250514 across various providers. The default	rule
14	aider	models-routing	feat	noise	provider/模型目录更新	dedup-l
15	aider	models-routing	other	noise	model/provider line: Updated default OpenRouter models during onboarding to	rule
16	aider	models-routing	other	noise	model/provider line: anthropic/claude-sonnet-4 for paid tiers.	rule
17	aider	models-routing	other	noise	model/provider line: Automatically refresh GitHub Copilot tokens when used	rule
18	aider	models-routing	feat	noise	provider/模型目录更新	dedup-l
19	aider	models-routing	other	noise	model-catalog: Updated Gemini model aliases e.g. gemini gemini-2.5-pro	rule
20	aider	models-routing	other	noise	overeager flag internal	manual
21	aider	models-routing	other	noise	model/provider line: Updated the default weak model for Gemini	rule
22	aider	models-routing	fix	annotated	模型 | LiteLLM 100+ provider+tenacit	dedup-l
23	aider	models-routing	feat	annotated	## 11. Gemini CLI（Google · CLI + a2a	dedup-l
24	aider	models-routing	feat	noise	model/provider line: Enabled reasoning_effort for Gemini 2.5 Flash models.	rule
25	aider	models-routing	feat	noise	model/provider line: Improved support for using architect mode with	rule
26	aider	models-routing	feat	annotated	开屏 | VS Code 侧栏+provider profiles（	dedup-l
