idx	novelty	cluster	src	verdict	detail	pass
0	1.00	cli-flags	s7	boundary	editor/CLI 设置面	fill
1	1.00	attachment	s6	boundary	read_file 音视频——非图媒体 descriptor 降级路径已覆盖语义	fill
2	1.00	git-pr-ci	s6	noise	上游 CI/release 内务	fill
3	1.00	models-rou	s6	noise	provider/模型目录更新	fill
4	1.00	other	s6	boundary	IDE/编辑器/营销面	fill
5	1.00	other	s6	boundary	IDE/编辑器/营销面	fill
6	1.00	other	s6	boundary	IDE/编辑器/营销面	fill
7	1.00	other	s6	boundary	IDE/编辑器/营销面	fill
8	1.00	other	s6	boundary	IDE/编辑器/营销面	fill
9	1.00	other	s6	boundary	IDE/编辑器/营销面	fill
10	1.00	other	s6	boundary	IDE/编辑器/营销面	fill
11	1.00	remote-clo	s6	boundary	git askpass 签名 UX	fill
12	1.00	i18n-l10n	s5	boundary	locale	fill
13	1.00	api-sdk	s5	boundary	DynamicRemoteSandboxSpecService——远程沙箱形态外	fill
14	1.00	approval-g	s5	cand	全局禁用 always-授权的管理员开关（findings batch1 已记，M146 族）	fill
15	1.00	approval-g	s5	dup	approval 模式参数（modes 体系已覆盖）	fill
16	1.00	cli-flags	s5	cand	auto-compact 触发阈值可配置（我方固定 90%）	fill
17	1.00	cli-flags	s5	cand	requirements.toml 声明 allowed_web_search_modes（搜索模式白名单）	fill
18	1.00	cli-flags	s5	boundary	editor/CLI 设置面	fill
19	1.00	cli-flags	s5	boundary	editor/CLI 设置面	fill
20	1.00	git-pr-ci	s5	noise	上游 CI/release 内务	fill
21	1.00	git-pr-ci	s5	noise	上游 CI/release 内务	fill
22	1.00	git-pr-ci	s5	noise	上游 CI/release 内务	fill
23	1.00	i18n-l10n	s5	boundary	locale	fill
24	1.00	i18n-l10n	s5	boundary	locale	fill
25	1.00	i18n-l10n	s5	boundary	locale	fill
26	1.00	mcp-tools	s5	boundary	MCP 文档/移动端面	fill
27	1.00	mcp-tools	s5	boundary	MCP 文档/移动端面	fill
28	1.00	memory-con	s5	noise	上游测试内务	fill
29	1.00	models-rou	s5	noise	provider/模型目录更新	fill
30	1.00	models-rou	s5	noise	provider/模型目录更新	fill
31	1.00	models-rou	s5	noise	provider/模型目录更新	fill
32	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
33	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
34	1.00	other	s5	cand	safety checker 框架（verify/hooks 族方向佐证）	fill
35	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
36	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
37	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
38	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
39	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
40	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
41	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
42	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
43	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
44	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
45	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
46	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
47	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
48	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
49	1.00	other	s5	boundary	IDE/编辑器/营销面	fill
50	1.00	remote-clo	s5	boundary	远程执行/git 签名形态外	fill
51	1.00	sandbox-ex	s5	boundary	bwrap linux-sandbox——OS 沙箱已裁 N/A	fill
52	1.00	shell-tool	s5	boundary	terminal/web-shell UI	fill
53	1.00	shell-tool	s5	boundary	terminal/web-shell UI	fill
54	1.00	shell-tool	s5	boundary	terminal/web-shell UI	fill
55	1.00	skills-plu	s5	boundary	LSP/扩展机制面	fill
56	1.00	ui-ux	s5	boundary	编辑器 UI	fill
57	1.00	i18n-l10n	s4	boundary	locale	fill
58	1.00	models-rou	s4	noise	provider/模型目录更新	fill
59	1.00	api-sdk	s4	boundary	SDK 表面	fill
60	1.00	api-sdk	s4	boundary	SDK 表面	fill
61	1.00	attachment	s4	boundary	音视频媒体面（非图 descriptor 已覆盖）	fill
62	1.00	attachment	s4	boundary	音视频媒体面（非图 descriptor 已覆盖）	fill
63	1.00	bugfix	s4	noise	上游内部修复	fill
64	1.00	bugfix	s4	noise	上游内部修复	fill
65	1.00	bugfix	s4	noise	上游内部修复	fill
66	1.00	bugfix	s4	noise	上游内部修复	fill
67	1.00	bugfix	s4	noise	上游内部修复	fill
68	1.00	bugfix	s4	noise	上游内部修复	fill
69	1.00	bugfix	s4	noise	上游内部修复	fill
70	1.00	cli-flags	s4	boundary	editor/CLI 设置面	fill
71	1.00	cli-flags	s4	boundary	editor/CLI 设置面	fill
72	1.00	git-pr-ci	s4	noise	上游 CI/release 内务	fill
73	1.00	git-pr-ci	s4	noise	上游 CI/release 内务	fill
74	1.00	git-pr-ci	s4	noise	上游 CI/release 内务	fill
75	1.00	i18n-l10n	s4	boundary	locale	fill
76	1.00	i18n-l10n	s4	boundary	locale	fill
77	1.00	i18n-l10n	s4	boundary	locale	fill
78	1.00	i18n-l10n	s4	boundary	locale	fill
79	1.00	integratio	s4	boundary	集成面	fill
80	1.00	models-rou	s4	noise	provider/模型目录更新	fill
81	1.00	models-rou	s4	noise	provider/模型目录更新	fill
82	1.00	models-rou	s4	noise	provider/模型目录更新	fill
83	1.00	models-rou	s4	noise	provider/模型目录更新	fill
84	1.00	models-rou	s4	noise	provider/模型目录更新	fill
85	1.00	models-rou	s4	noise	provider/模型目录更新	fill
86	1.00	models-rou	s4	noise	provider/模型目录更新	fill
87	1.00	models-rou	s4	noise	provider/模型目录更新	fill
88	1.00	models-rou	s4	noise	provider/模型目录更新	fill
89	1.00	models-rou	s4	noise	provider/模型目录更新	fill
90	1.00	models-rou	s4	noise	provider/模型目录更新	fill
91	1.00	models-rou	s4	noise	provider/模型目录更新	fill
92	1.00	models-rou	s4	noise	provider/模型目录更新	fill
93	1.00	models-rou	s4	noise	provider/模型目录更新	fill
94	1.00	models-rou	s4	noise	provider/模型目录更新	fill
95	1.00	models-rou	s4	noise	provider/模型目录更新	fill
96	1.00	models-rou	s4	noise	provider/模型目录更新	fill
97	1.00	orchestrat	s4	dup	workboard 编排原语——delegate/mailbox/task 已覆盖	fill
98	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
99	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
100	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
101	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
102	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
103	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
104	1.00	other	s4	cand	新用户检测→onboarding 引导（findings batch1 已记缺口）	fill
105	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
106	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
107	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
108	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
109	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
110	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
111	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
112	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
113	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
114	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
115	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
116	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
117	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
118	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
119	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
120	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
121	1.00	other	s4	cand	Conseca 安全框架（同 safety-checker 方向）	fill
122	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
123	1.00	other	s4	cand	ModelPolicy/PolicyCatalog 模型策略目录（modelroutes 族）	fill
124	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
125	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
126	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
127	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
128	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
129	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
130	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
131	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
132	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
133	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
134	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
135	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
136	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
137	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
138	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
139	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
140	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
141	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
142	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
143	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
144	1.00	other	s4	dup	.devinignore——.paiignore 已覆盖	fill
145	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
146	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
147	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
148	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
149	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
150	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
151	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
152	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
153	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
154	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
155	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
156	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
157	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
158	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
159	1.00	other	s4	boundary	IDE/编辑器/营销面	fill
