1380	dup	commit changes时改进review体验 — review UX
1381	dup	Codex auth fallback state修复+legacy auth接受 — auth fallback
1382	dup	approval-runtime credentials转发agent-owned Gateway calls — approval cred forwarding
1383	dup	file read/write/delete权限跟Security Center决策 — policy alignment
1384	boundary	Slack notifications跨web sessions
1385	dup	/approve经trusted approval runtime — approval routing
1386	dup	auto fast mode短会话快启+长任务回落normal — fast/normal mode
1387	dup	task output files user+workspace隔离temp目录 — output isolation
1388	dup	各类failure解释性报错 — error surface
1389	boundary	WeChat回复q退出plan mode(deny_and_exit_plan)
1390	cand	mcp-profile: mcp.servers.<name>.context按agent id范围限定
1391	dup	Allow Always对MCP tool持久 — M146已实装
1392	cand	approval UX: 点permission card编辑命令再批/ wand action
1393	cand	policy hot-reload: workspace trust changes daemon内即时生效
1394	dup	exec-approvals.json启动时剥invalid值 — config sanitize
1395	boundary	tree-sitter shell command explainer(approval UI)
1396	dup	approval.list走轻量policy-summary路径 — perf
1397	dup	退出plan mode注入mode-change公告 — mode announce
1398	cand	origin-gate: browser-originated WS全量origin校验
1399	dup	trusted-proxy拒mixed shared-token+local-direct要config — proxy auth
1400	dup	auto permission mode智能决定逐tool批准 — decide已实装
1401	dup	HTTP_PROXY时auto-upgrade trusted env-proxy — proxy
1402	cand	egress: allowPrivateNetwork per-provider开关(自托管例外)
1403	dup	Telegram typing/progress/forum topics — channel richness
1404	dup	Plan/Act toggle(architect模式) — plan mode
1405	boundary	trusted diagnostics channels抓tool I/O
1406	cand	secrets: 1Password broker可选SecretRef解析
1407	dup	ACP permission broadcast重启后恢复dialogs — dialog restore
1408	dup	ignored files不入search+filesystem approvals — file boundary
1409	dup	plan mode确认界面优化 — plan UX
1410	dup	plan mode硬阻file-editing shell commands(不靠prompt) — plan enforcement
1411	boundary	extractStructuredWithModel plugin API
1412	boundary	plugin依赖声明+semver tag
1413	dup	provider detection被动直到用户选择 — consent flow
1414	noise	sandbox permission timeout对话框不关修复
1415	dup	50+开发工具命令入allowlist — allowlist expansion
1416	dup	logout吊销managed tokens+hooks/exec policies要确认 — auth revoke
1417	dup	高风险tools(sessions_spawn/gateway/whatsapp_login)从HTTP /tools禁 — tool scoping
1418	dup	trusted-proxy pairing bypass要operator role — role gate
1419	boundary	Slack native Stop/session状态同步
1420	dup	custom commands细粒度tool权限 — command perms
1421	variant	TUI local embedded mode免Gateway但保留plugin approval gates
1422	boundary	PermissionNext模块permission events重构
1423	boundary	basedpyright默认/external agents
1424	boundary	websocket proxy/thread archive通知schema
1425	dup	/memory refresh与初始load一致 — memory refresh
1426	dup	Brokered Host注册temporary auto-allow rules — macOS sandbox
1427	dup	per-agent exec approval settings含allowlist fallback — per-agent policy
1428	boundary	video_generate内置工具
1429	boundary	browser tabs live repaint+screenshot fallback
1430	dup	non-HTTPS clipboard copy fallback — clipboard
1431	dup	TTS audio replies持久webchat history+tool card配对 — transcript
1432	boundary	Feishu media type处理
