api-sdk       |New Cline API docs: Getting Started, Auth, Chat Completions, Models, Errors, and SDK Examples
api-sdk       |Plugins/SDK: add bounded before_agent_finalize retry instructions so workflow plugins can request one more model pass. Thanks @100yenadmin.
api-sdk       |Python 3.10 Support: Agent SDK extended compatible Python version range, now supporting Python 3.10
api-sdk       |Tavily: resolve dedicated tavily_search and tavily_extract tool credentials from the active runtime config snapshot, so exec SecretRef-backed API keys
api-sdk       |Enabled ACP elicitations by default, allowing ACP agents to collect structured user input.
api-sdk       |Unified Response Format: Public endpoints adopt the standard { data } / { error: { code, message } } envelope format, improving API consistency
api-sdk       |Report cumulative total_tokens in stream-json/json output #8910
api-sdk       |Expose a reusable question handler factory for custom question API hosts.
api-sdk       |feat(acp): add complete hooks support for ACP integration
api-sdk       |SDK Version Update: Updated SDK-JS to 0.3.16 and SDK-Python to 0.3.14
api-sdk       |Codex can route authentication and Responses API traffic through macOS and Windows system proxies, including PAC and WPAD configurations. (#26708, #26
api-sdk       |test(core): improve testing for API request/response parsing
api-sdk       |Gateway protocol: require v4 clients and stream explicit chat deltaText/replace frames so SDK clients can consume assistant updates without local diff
api-sdk       |Added /client and /server import paths for JS SDK
api-sdk       |feat(serve): expose workspace Channel management API (#7637) by @qqqys
approval-gate |Voice input failures caused by provider setup — missing credentials, transcription config — now take you straight to voice settings instead of a toast
approval-gate |feat(plan): allow skills to be enabled in plan mode
approval-gate |Updated extension docs, examples, runtime help, trust prompts, and config labels to use the configured project config directory instead of hardcoded .
approval-gate |App-server docs and generated schemas were refreshed for the new transport, thread, marketplace, sticky environment, and permission-profile APIs. (#18
approval-gate |Approving a guardrailed command whose argument the shell could not read no longer approves the same command with a different one.
approval-gate |The npm cache producer now runs as a non-root user to prevent file permission issues on persistent self-hosted CI runners. (#8669) by @yiliang114
approval-gate |Permission Command Risk Adjustment: Optimized risk classification strategy for privilege escalation commands like sudo/su, reducing unnecessary confir
approval-gate |fix(core): enable global session and persistent approval for web_fetch
approval-gate |Gateway/nodes: add disabled-by-default gateway.nodes.pairing.autoApproveCidrs for first-time node pairing from explicit trusted CIDRs, while keeping o
approval-gate |feat(web-shell): bind plan approval to its Todo revision
approval-gate |Security controls including sender whitelisting and permission relay are supported
approval-gate |codex exec --help now shows clearer usage and approval-mode wording (#16881, #16888).
approval-gate |feat(plan): update UI Theme for Plan Mode
approval-gate |Build: align Telegram QA workflows and git source installs with the pnpm 11 workspace build allowlist surface. (#80588) Thanks @altaywtf.
approval-gate |Added project trust gating for project-local settings, resources, instructions, and packages (#5332).
attachments   |Added support for custom voice format and input device settings.
attachments   |The input footer shows a “ctrl+v to paste image in clipboard” hint while an image is on the system clipboard.
attachments   |fix: add state to pause existing audio for demo menus, add support fo…
attachments   |Copy Shortcut: Added Ctrl+Y shortcut to quickly copy the last AI response to clipboard, making it convenient to grab code snippets or important inform
attachments   |Apple Watch voice turns: dictate a message from the Watch chat and hear the new OpenClaw reply spoken on the Watch, with explicit silent-message and s
attachments   |Media: preserve GIF animation when uploading to Discord/other providers (skip JPEG optimization for image/gif).
attachments   |Today's release includes a minimap, image support in hover documentation, and many improvements to the agent panel.
attachments   |feat(cohere): add support from Reasoning/Vision/Translate models
attachments   |feat(tui): add debug info dialog with copy to clipboard
attachments   |Fixed an issue where the app could crash when opening the markdown preview with a malformed image tag
attachments   |#43645 Expand TUI regression coverage for realtime voice conversations @copyberry
attachments   |fix(cli): change image paste location to global temp directory
attachments   |Browser/security: enforce SSRF policy on snapshot, screenshot, and tab routes [AI]. (#66040) Thanks @pgondhi987.
attachments   |Fixed image support check by passing model info to ReadTool
attachments   |Support MiniMax image generation schema
bugfix        |Automation event acceptance is now atomic. The event log row was committed before specs were matched and runs materialized, so a failure mid-fan-out l
bugfix        |Fixed validateToolArguments() to fall back gracefully when AJV schema compilation is blocked in restricted runtimes such as Cloudflare Workers, allowi
bugfix        |QA-Lab: add a personal-agent failure recovery scenario that checks honest partial status, retry boundaries, and local recovery artifacts. (#83872) Tha
bugfix        |Reconnecting to a stale managed Cline Hub daemon is fixed. When another Cline install ships a newer Hub, the app now prompts to update and restart — a
bugfix        |fix: fix tool execute abnormal when there is no tool policy data in the local cache
bugfix        |Auto-reply/billing: classify pure billing cooldown fallback summaries from structured fallback reasons so users see billing guidance instead of the ge
bugfix        |fix(core): cap a streaming response's total lifetime, slim the review fan-out launch
bugfix        |/diff now shows diffs of all changes resulting from your request, including lint and test fixes.
bugfix        |Fix Windows navigation keys, reliably terminate sandboxed process trees, and preserve proxy settings during security reviews. (#34625, #34624, #35036)
bugfix        |At Charm, we're all about creature comforts. This release contains a couple nice quality-of-life features and a handful of fixes, particularly around
bugfix        |OTLP signals skipped when protocol=grpc to avoid background-thread panic
bugfix        |WhatsApp: route proactive phone-number sends through Baileys LID forward mappings when available, so LID-addressed contacts receive agent messages ins
bugfix        |fix: configure agent-server telemetry in Canvas launchers
bugfix        |fix(core): allow web_fetch JSON fallback
bugfix        |Agent: Fixed model dropdown resetting to "Default (recommended)" when opening a previous conversation from history. (#51587; thanks OmChillure)
cli-flags     |Added support for removing model-specific reasoning tags from responses with remove_reasoning: tagname model setting.
cli-flags     |CLI/update: install npm global updates into a verified temporary prefix before swapping the package tree into place, preventing mixed old/new installs
cli-flags     |Per-token stream deltas are no longer mirrored into telemetry — they accounted for ~97% of all agent event volume with no analytical value
cli-flags     |Environment substitution for auth blocks - Dynamic environment variable substitution in authentication configuration [#5439]
cli-flags     |feat(cli): OpenTUI migration infra batch — locked deps, dependency-direction arch check, framework-neutral streaming model
cli-flags     |Changed the new "elixir": { "next": "on" } setting to "elixir": { "lsp": "next_ls" }. The elixir.lsp setting requires a full restart to take effect.
cli-flags     |Add isSignedIn to config reload telemetry
cli-flags     |feat(eval): add add-logging behavioral scenario (11th scenario) (#2072) (e389c0ce5)
cli-flags     |Enabled /review presubmit on Aone targets to detect self-MRs and head drift by routing through the a1 CLI and comparing author identity.
cli-flags     |Added yaml-language-server configuration via settings. See: zed.dev/docs/languages/yaml (#17479).
cli-flags     |#13381 chore: rm --all-features flag from rust-analyzer @sayan-oai
cli-flags     |feat(extensions): add --skip-settings flag to install command
cli-flags     |feat(cli): add gptme-util chats stats command (#1618) (53c415e9a)
cli-flags     |Export AI SDK telemetry spans to OTLP trace backends.
cli-flags     |feat(cli): support same-turn message steering (#7090) by @LaZzyMan
file-edit     |We adopted the write tool to allow the model to create empty files (thanks @vorticalbox).
file-edit     |fix(patch): cherry-pick 050c303 to release/v0.38.0-pr-25317 to patch version v0.38.0 and create version 0.38.1
file-edit     |fix(patch): cherry-pick a8b4c38 to release/v0.27.0-pr-18161 to patch version v0.27.0 and create version 0.27.1
file-edit     |fix(patch): cherry-pick fe67ef6 to release/v0.18.1-pr-13596 to patch version v0.18.1 and create version 0.18.2
file-edit     |feat: added patch tool, added more integration test examples (2c2a6c0)
file-edit     |Add new search_and_replace tool for batch text replacements across files (PR #9549 by @hannesrudolph)
file-edit     |Agents/tools: stop treating tools.deny: ["write"] as an implicit apply_patch deny; operators who want to block patch writes should deny apply_patch or
file-edit     |Agent: Improved the edit tool so it can still apply edits when a file has changed on disk, as long as the target text still matches.
file-edit     |If something doesn't work as expected by the LSP, don't worry. We'll report an error to the model so it can fallback to using the edit tool.
file-edit     |feat(release): Add dev env support to release-3-patch
file-edit     |CLI/config: preserve numeric-looking object keys such as Discord guild IDs during config patch recursive merges. (#81999) Thanks @giodl73-repo.
file-edit     |Intra-line diff highlighting: Edit tool now shows word-level changes with inverse highlighting when a single line is modified. Multi-line changes show
file-edit     |Fixed off-by-one error in edit tool’s reported start/end line numbers when the edit is not at the beginning of the file
file-edit     |Fixed patch tool to support line removal
file-edit     |remove edit tool from plan agent
git-pr-ci     |New --attribute-commit-message-author to prefix commit messages with 'aider: ' if aider authored the changes, replaces --attribute-commit-message.
git-pr-ci     |Agent: Added Paste as Plain Text to the agent panel message editor right-click menu.
git-pr-ci     |feat(eval): add root-cause-pipeline-debug behavioral scenario (ef2cac82d)
git-pr-ci     |Added Stash Tracked and Stash Staged options to the Git Panel, letting you stash only tracked changes or only staged changes. (#62254; thanks Priyadha
