id	class	flag	verdict	detail	pass
1761	shell-tools	feat	noise	terminal TS rewrite internal refactor	manual
1768	shell-tools	feat	dup	terminal background exec — pi durable jobs 已有	manual
1829	git-pr-ci	feat	noise	welcome screen glitch fix	manual
1843	git-pr-ci	feat	dup	git branch analysis — git tools 已有	manual
2179	other	feat	boundary	settings deep-link — their nav UI	manual
2189	other	feat	noise	storybook onboarding story internal	manual
2190	other	feat	boundary	custom icon font — their UI assets	manual
2192	other	feat	noise	edit tools conversion adapter internal	manual
2205	other	feat	boundary	onboarding flow — their product UX	manual
2217	other	feat	noise	baseUrl field refactor	manual
2264	other	feat	boundary	task header expand — their UI	manual
2333	other	feat	boundary	Oca internal mode	manual
2420	other	feat	cand	Focus Chain & Deep Planning — 规划链机制	manual
2648	other	feat	boundary	mermaid copy button — their viewer	manual
2907	ui-ux	feat	boundary	version banner — their UI	manual
2910	ui-ux	feat	boundary	welcome screen polish	manual
2912	ui-ux	feat	boundary	banner carousel dismiss — their UI	manual
2943	ui-ux	feat	boundary	env visual indicators — their UI	manual
2947	ui-ux	feat	boundary	scroll-to-top — their UI	manual
2961	ui-ux	feat	boundary	nav bar restructure — their UI	manual
3489	bugfix	feat	noise	CLI auth redirect fix	manual
3674	cli-flags	feat	boundary	oracle code assist — their CLI product	manual
8858	bugfix	feat	noise	panic on unsupported Constrained — internal assert	manual
8860	bugfix	feat	noise	resource parsing bugfix	manual
8918	bugfix	feat	noise	features list formatting	manual
9390	ui-ux	feat	boundary	agent picker — their TUI	manual
9400	ui-ux	feat	cand	macOS idle-sleep prevention during turns — 电源断言机制	manual
9435	ui-ux	feat	noise	stream chunk pacing internal	manual
9456	ui-ux	feat	noise	retire tui2 experiment	manual
9471	ui-ux	feat	boundary	basic TUI — their surface	manual
9519	ui-ux	feat	boundary	Ctrl-P/N textarea nav — their TUI	manual
9530	ui-ux	feat	boundary	unified_exec UI — their TUI	manual
9545	ui-ux	feat	noise	Windows auto-mode doc clarification	manual
9581	ui-ux	feat	boundary	TUI onboarding — their surface	manual
10129	other	feat	dup	persist TurnItems paginated rollout — durable transcript 已有	manual
10137	other	feat	noise	turn_id metadata field internal	manual
10158	other	feat	noise	thread/items/list rename internal	manual
10250	other	feat	noise	ResponseItem metadata field internal	manual
10282	other	feat	noise	ThreadStore extension deps internal	manual
10310	other	feat	noise	agent residency LRU internal	manual
10312	other	feat	noise	V2 concurrency counting internal	manual
10339	other	feat	noise	agent reload on delivery internal	manual
10371	other	feat	boundary	enterprise credit limits — SaaS billing	manual
10372	other	feat	dup	compressed rollout snippets — rollout compaction 已有	manual
10418	other	feat	dup	gate memory tools in config — memory+cfg gate 已有	manual
10464	other	feat	noise	dedicated goal DB internal	manual
10479	other	feat	noise	rename 1 internal	manual
10480	other	feat	noise	rename 3 internal	manual
10481	other	feat	noise	rename 2 internal	manual
10482	other	feat	noise	async turn item internal	manual
10483	other	feat	dup	turn-start metadata to extensions — ext metadata 已有	manual
10506	other	feat	noise	thread_id experimentalFeature internal	manual
10525	other	feat	noise	drop CodexExtension internal	manual
10527	other	feat	noise	move extensions tool internal	manual
10537	other	feat	dup	built-in MCPs first-class — MCP client 已有	manual
10556	other	feat	noise	ApplyPatchEnd limited-history internal	manual
10562	other	feat	dup	ad-hoc instructions — custom instructions 已有	manual
10590	other	feat	boundary	AgentIdentity from JWT — their auth surface	manual
10645	other	feat	dup	auto-review short-circuit — review flow 已有	manual
10662	other	feat	noise	cascade thread archive internal	manual
10676	other	feat	noise	baseline lib internal	manual
10712	other	feat	noise	config aliases minor	manual
10736	other	feat	noise	codex sampler internal	manual
10753	other	feat	noise	exec-server ownership internal	manual
10754	other	feat	noise	root agent task restriction internal	manual
10767	other	feat	noise	auto-vacuum state DB internal	manual
10771	other	feat	noise	tasks/root-agent constraint internal	manual
10832	other	feat	cand	mailbox concept for wait — agent 间信箱等待机制	manual
10872	other	feat	noise	serde inter-agent comm internal	manual
10879	other	feat	noise	package manager version centralize internal	manual
10880	other	feat	noise	rename close agent internal	manual
10893	other	feat	noise	artifacts packaging internal	manual
10929	other	feat	noise	more spans internal telemetry	manual
10960	other	feat	dup	prune old memories — memory pruning 已有	manual
10962	other	feat	noise	drop discrepancy metrics internal	manual
10963	other	feat	noise	TTFT/TTFM metrics internal	manual
10976	other	feat	noise	simplify DB internal	manual
11000	other	feat	noise	bind package manager internal	manual
11001	other	feat	noise	polish package manager internal	manual
