src	id	grp	detail	item
dedup-h	2	shell-tools	worktree: sidebar worktree creation	This week's release includes the ability to create a new worktree right from the sidebar's new-thread button, a new agent.terminal_init_command setting to autom
dedup-h	6	orchestration	Team: multi-agent task assignment + message passing	The new Team feature enables multiple Agents to work collaboratively, implementing task assignment and message passing through tools like TeamCreate, TeamDelete
dedup-h	7	sessions-history	session-insights: usage analysis feature	Session InsightsSession Insights is a new free feature that analyzes your Devin sessions and breaks down what happened and gives you actionable tips for next ti
dedup-h	12	shell-tools	custom session-id flag (--create-with-session-id)	Custom Session ID Support: New --create-with-session-id flag allows specifying a custom UUID session ID when creating tasks. Session IDs are now validated as UU
dedup-h	19	approval-gate	project purge: preview+remove sessions/tasks/history bulk cleanup	Fixed plan mode's switch_to_act_mode tool not taking effect until the end of the turn: the model would keep running with plan-mode tools (no file editor) and fa
dedup-h	33	ui-ux	AskUserForStructuredInput: schema→UI表单ask	The trace list now includes preview fields such as error count, first error message, and first error location. The detail page adds an error overview panel grou
dedup-h	38	mcp-tools	remote-mcp: oauthResource RFC8707 override field	New built-in tool that allows the model to proactively wait for MCP servers that are still connecting. When an MCP server has not yet finished connecting, the m
dedup-h	43	orchestration	delegate-modes: Agent tool Fork mode(省略type→后台fork)	The Agent tool now supports Fork mode: when the subagent_type parameter is omitted, it automatically creates a background subagent that inherits the parent agen
dedup-h	56	file-edit	tool def prepareArguments hook（参数归一化钩子）	Fixed Go tests not being able to run in case the package (and the go.mod) was in a nested folder (#17108; thanks glaudiston). Pre-defined Go tasks now run in th
dedup-h	63	orchestration	plugins贡献rules/hooks/MCP/subagents — 扩展面	When CODEBUDDY_REPL_ENABLED is enabled, the model can write scripts in an isolated sandbox to orchestrate built-in tools and connected MCP tools directly, reduc
dedup-h	74	sessions-history	session export命令(markdown/html/quarto全量导出)	Session runtime API: createAgentSessionRuntime() and AgentSessionRuntime provide a closure-based runtime that recreates cwd-bound services and session config on
dedup-h	91	orchestration	Team: teammate idle awareness(查询队友实时状态)	Hermes speaks Agent-to-Agent — A2A v1.0 — A new bundled plugin implements the Agent-to-Agent protocol, so Hermes can discover, talk to, and be driven by other A
dedup-h	100	shell-tools	plugins注册slash commands+dispatch tools — 扩展命令面	CLI/Status: expand tables to full terminal width; clarify provider setup vs runtime warnings; richer per-provider detail; token previews in status while keeping
dedup-h	109	approval-gate	hooks: before_tool_call async requireApproval(钩→ask升级)	See past release notes for the full list of the improvements.Full Desktop TestingDevin now supports end-to-end testing using computer use and can test any deskt
dedup-h	131	remote-cloud	remote-mcp: Settings OAuth授权流	Self-update support for the npm scope migration: pi update --self now supports the upcoming package rename from @mariozechner/pi-coding-agent to @earendil-works
dedup-h	143	shell-tools	model-invoked内置slash commands(/clear/model/config/resume)	Output in mixed A2A and stream-json mode: Fixed an issue where A2A turns were completely silent on stdout in mixed mode. A2A turns now output initialization inf
dedup-h	146	skills-plugins	delegate-params: skill/command/subagent frontmatter model字段	When adding a plugin marketplace, an optional auto-update toggle has been added. Once enabled, a single operation completes both "adding the marketplace" and "e
dedup-h	154	approval-gate	approval prompt内"Edit command"微调后批准	raw stream-json and ACP input now support providing a UUIDv7 turn ID through _meta['codebuddy.ai/conversationRequestId']. Once accepted, the ID is propagated to
dedup-h	165	mcp-tools	remote-mcp: gateway proxy OAuth token exchange	After Gateway authentication, a new CBC account login flow (OAuth) has been added, supporting four login methods: domestic site, international site, enterprise
dedup-h	167	mcp-tools	remote-mcp: mcp add positional URL(claude code兼容语法)	Malformed JSON Context Pollution Fix: Fixed an issue where retry prompt messages were not cleaned up in time when the AI model occasionally generated malformed
dedup-h	172	memory-context	--no-session-persistence内存态会话(ephemeral)	Active Memory: support concrete plugins.entries.active-memory.config.toolsAllow recall tool names for custom memory plugins while keeping the built-in memory-co
dedup-h	175	models-routing	provider-failover: same-provider链在model不同时保持	Add generic SDK provider settings and model-catalog support so more providers can share the same model picker, reasoning controls, dynamic model IDs, provider c
dedup-h	181	models-routing	provider-failover: media跨provider自动fallback	This week's release includes vision support for OpenAI models, improved project search performance, an option to create a branch from a default branch, a toggle
dedup-h	197	sessions-history	session-insights: session分析+knowledge管理	Session Analysis & Knowledge ManagementEnhanced session tracking and analysis capabilities with improved knowledge base management, curation tools, and prompt i
dedup-h	202	skills-plugins	hook-events: session_directory extension event(自定义session目录)	Stop the two bundles of the combined rollout package from invalidating each other's Cline account session. A still-open legacy window that refreshed its token a
dedup-h	228	approval-gate	worktree: Dev Containers+worktree trust机制	MCP: retire one-shot embedded bundled MCP runtimes at run end, skip bundle-MCP startup when a runtime tool allowlist cannot reach bundle-MCP tools, and add mcp.
dedup-h	233	cli-flags	proxy: config.json proxy.mode出站HTTP代理控制	Added Daemon process support, manageable via daemon start/stop/status/restart commands for background-running CLI instances. Also supports the --bg parameter to
dedup-h	238	git-pr-ci	structured output: --output-schema JSON Schema	Support specifying JSON Schema through the --output-schema command-line parameter to make Agent output conform to predefined data structures. This feature is pa
dedup-h	242	mcp-tools	mcp-server: 暴露自身为MCP server给外部client	MCP config environment variable expansion: ${VAR_NAME} placeholders in MCP server configurations are now automatically replaced with the corresponding environme
dedup-h	258	orchestration	orchestration: Workflow工具编排多sub-agent多步任务	Added the Workflow tool, which supports orchestrating multiple sub-agents to collaboratively complete large multi-step tasks within a single session, suitable f
dedup-h	280	sessions-history	hook-events: TurnStarted/UserPromptQueued/TaskStarted/SessionHeartbeat	Checkpoints no longer re-hash every untracked file before each message. Checkpoint creation rebuilt a throwaway git index each turn, so multi-GB untracked data
dedup-h	282	sessions-history	provider-failover: text+image链在allowlist下保持可达	Structured Output ModalThe structured output from sessions created with the API with this parameter set can now be viewed and downloaded from the “Structured ou
dedup-h	286	shell-tools	REPL !<command>操作员shell直跑(输出进context)	Code review Agents (e.g., code-reviewer, silent-failure-hunter, type-design-analyzer) can now submit review findings as structured fields (file / summary / fail
dedup-h	303	ui-ux	↑拉回queued message到编辑器 — queue-edit UX	To view and install available extensions, use the zed: extensions command found in the command palette. Extensions currently support language syntax highlightin
dedup-h	333	cli-flags	state backup/verify CLI(openclaw backup create/verify)	Repeated Agent Window Reloads: Fixed new-version checks also running inside agent windows, causing full-page refreshes and repeated reloads. Version updates are
dedup-h	347	mcp-tools	remote-mcp: transport"sse"legacy协议支持	When calling downstream MCP services, the current model ID is automatically injected into the HTTP request header X-Model-ID, enabling downstream services and s
dedup-h	348	mcp-tools	remote-mcp: HTTP/SSE MCP隐式timeout修复	MCP tool call 5-minute implicit timeout: Fixed an issue where tool calls to HTTP/SSE type MCP servers were silently timed out by the transport layer's default t
dedup-h	350	mcp-tools	remote-mcp: pre-registered OAuth client(--oauth-client-id)	MCP servers configured with "transport": "sse" (legacy SSE protocol) are now fully supported. Previously, these servers were rejected with an error; they now co
dedup-h	389	other	proxy: operator-managed出站代理(proxy.enabled/OPENCLAW_PROXY_URL)	Daemon Status Summary: daemon start and daemon restart now output an enhanced feature status summary, providing an at-a-glance view of currently enabled capabil
dedup-h	390	perf	session-insights: /insights用量分析报告	Security/networking: add opt-in operator-managed outbound proxy routing (proxy.enabled + proxy.proxyUrl/OPENCLAW_PROXY_URL) with strict http:// forward-proxy va
dedup-h	391	remote-cloud	remote-mcp: remote servers OAuth授权按钮	For the config-form pi.registerProvider(name, { refreshModels }), callbacks that only return models remain unchanged; pi publishes the returned list. If such a
dedup-h	394	remote-cloud	remote-mcp: SSE/streamable 10s connect budget	Fixed the CLI dying when an enabled remote (SSE/streamable HTTP) MCP server is unreachable. The connect now has a 10s budget, so an offline server no longer sta
dedup-h	396	remote-cloud	remote-mcp: mcp.servers URL config+auth headers+redaction	SSH remote clipboard: Fixed Ctrl+Y copy to clipboard failure in Linux + SSH remote environments by implementing OSC 52 protocol support for remote terminal clip
dedup-h	398	remote-cloud	remote-mcp: unreachable SSE server connect budget	MCP: add remote HTTP/SSE server support for mcp.servers URL configs, including auth headers and safer config redaction for MCP credentials. (#50396) Thanks @dha
dedup-h	404	sandbox-exec	remote-mcp: shell-tool MCP login+capability declaration	Config: remove legacy public config aliases such as talk.voiceId / talk.apiKey, agents.*.sandbox.perSession, browser.ssrfPolicy.allowPrivateNetwork, hooks.inter
dedup-h	410	scheduling	outbound-webhook: cron finished-run webhook+专用token	Since v0.20.1 (v2026.8.13, tagged August 13), this window landed ~967 commits across ~1,279 files (+128,522 / ?7,622) — ~397 merged PRs of fixes and improvement
dedup-h	459	ui-ux	hook-events: 登录成功notification hook event	Authentication Success Notification: Added Hook notification event after successful user login, supporting triggering custom scripts upon authentication complet
dedup-h	509	git-pr-ci	worktree: deep-link settings+git worktree管理	To improve the code review experience, we’ve introduced a new stacked layout for the diff viewer. This change displays diffs for multiple files vertically on a
dedup-h	523	mcp-tools	remote-mcp: Streamable HTTP transport集成	Models/auth: merge provider-owned default-model additions from openclaw models auth login instead of replacing agents.defaults.models, so re-authenticating an O
