idx	score	cluster	src	verdict	detail	pass
0	29	memory-context	s29	dup	persistent memory across sessions — memory extension已实装	manual
1	28	sandbox-exec	s28	boundary	ACP token-file/password-file auth surface	manual
2	28	shell-tools	s28	cand	worktree: sidebar worktree creation	manual
3	26	shell-tools	s26	boundary	Terminal Threads UI surface	manual
4	24	cli-flags	s24	boundary	zed CLI -n/-a workspace flags	manual
5	24	models-routing	s24	boundary	panel layout switcher + LSP code lens (editor)	manual
6	24	orchestration	s24	cand	Team: multi-agent task assignment + message passing	manual
7	24	sessions-history	s24	cand	session-insights: usage analysis feature	manual
8	24	ui-ux	s24	boundary	desktop migration rerun	manual
9	23	memory-context	s23	dup	/status provider prefix + usage filtering — status exists	manual
10	23	scheduling	s23	dup	proactive notify on long/background task — notify exists	manual
11	23	sessions-history	s23	dup	restore workspace+conversation to message — session_rewind+/reset	manual
12	23	shell-tools	s23	cand	custom session-id flag (--create-with-session-id)	manual
13	23	ui-ux	s23	boundary	/api/v1/workspace-dirs REST surface	manual
14	22	memory-context	s22	dup	spawned agent cwd/workspace separation — delegate isolation	manual
15	22	models-routing	s22	boundary	image-to-image generation	manual
16	22	scheduling	s22	noise	gateway session-metadata caching perf	manual
17	22	skills-plugins	s22	boundary	cloud Configuration Sync	manual
18	22	skills-plugins	s22	boundary	git diff dedicated tab (editor)	manual
19	21	approval-gate	s21	cand	project purge: preview+remove sessions/tasks/history bulk cleanup	manual
20	21	approval-gate	s21	dup	allow-always durable trust — M146已实装	manual
21	21	approval-gate	s21	noise	switch_to_act_mode turn-end bug（其自身实现）	manual
22	21	file-edit	s21	boundary	mcp.servers projection into codex thread configs	manual
23	21	git-pr-ci	s21	noise	computer use disclaimer文本调整	manual
24	21	mcp-tools	s21	dup	prewarm first-prompt MCP tools race — 我方boot期串行connect无此窗口	manual
25	21	memory-context	s21	dup	malformed numeric/timeout input rejection — 输入校验	manual
26	21	memory-context	s21	variant	memory tool atomic batch operations	manual
27	21	orchestration	s21	boundary	TUI多会话orchestrator窗口	manual
28	21	other	s21	boundary	QQBot group toggle	manual
29	21	remote-cloud	s21	boundary	remote agent browser preview proxy	manual
30	21	sessions-history	s21	variant	--brief SendUserMessage tool	manual
31	21	sessions-history	s21	boundary	ACU billing sleep（其计费体系）	manual
32	21	skills-plugins	s21	noise	TTS override对齐修复	manual
33	21	ui-ux	s21	cand	AskUserForStructuredInput: schema→UI表单ask	manual
34	21	ui-ux	s21	boundary	trace list preview fields	manual
35	20	approval-gate	s20	dup	skills snapshot version bump on config write — config版本化	manual
36	20	approval-gate	s20	noise	install-record缓存/native JSON perf	manual
37	20	mcp-tools	s20	boundary	experimental rmcp client flag（其栈迁移）	manual
38	20	mcp-tools	s20	cand	remote-mcp: oauthResource RFC8707 override field	manual
39	20	mcp-tools	s20	variant	显式wait-for-MCP工具 vs 我方阻塞connect	manual
40	20	memory-context	s20	boundary	keymap editor/debugger views	manual
41	20	models-routing	s20	dup	provider HTTP timeout config — 已覆盖	manual
42	20	orchestration	s20	noise	startup-warning metadata reuse	manual
43	20	orchestration	s20	cand	delegate-modes: Agent tool Fork mode(省略type→后台fork)	manual
44	20	sandbox-exec	s20	boundary	ACP Registry + message queuing	manual
